Id,SalePrice
1461,122093.83996809457
1462,152324.9997134972
1463,172910.08492649923
1464,193857.55834417912
1465,192540.73422192398
1466,171726.2128283675
1467,181391.8591123143
1468,164408.72405731335
1469,196892.55461817683
1470,120454.88288015328
1471,200430.64644943626
1472,107433.92271560521
1473,102984.31752400343
1474,155983.88169508195
1475,129601.09815456811
1476,348636.83390146215
1477,243332.35895664463
1478,287935.25478485523
1479,280995.71183147805
1480,479402.5684100672
1481,313430.8590381512
1482,209238.44879030532
1483,172270.4565780208
1484,169027.50245269228
1485,182759.73862597742
1486,198462.27450449095
1487,317043.65037126065
1488,242232.32222867734
1489,187397.3493657505
1490,216455.56873361432
1491,191980.15907497818
1492,98995.56832787467
1493,179941.44240511337
1494,277035.7746775282
1495,287026.3279796853
1496,223856.06133343783
1497,186052.21559037728
1498,163033.775658878
1499,163507.6455551728
1500,153944.68801744678
1501,167472.22396000626
1502,158146.10065209455
1503,271104.87221168145
1504,236798.85574176715
1505,217576.29357384896
1506,189274.97375096762
1507,251417.169539976
1508,194314.7570458724
1509,158999.97423377892
1510,140800.0752244385
1511,145220.12359845644
1512,169847.097729439
1513,152379.3544410698
1514,150772.82750356177
1515,198964.2223737653
1516,151133.87520616464
1517,173436.14626658184
1518,141656.48285875106
1519,215144.2657502517
1520,127966.22859120622
1521,129337.86952219151
1522,175839.61426631428
1523,112645.5942351586
1524,121560.95150844142
1525,119813.7706501903
1526,111715.41055202916
1527,112435.89546634462
1528,145716.4566052674
1529,141068.96823957603
1530,186577.0038612109
1531,108606.96178027362
1532,101843.64920119006
1533,137289.2162791815
1534,128308.44212904085
1535,145299.53112278332
1536,107241.7711210216
1537,70845.5843611109
1538,146572.1131868888
1539,193910.2949175316
1540,98122.60096225681
1541,139504.87149928056
1542,134724.92117547168
1543,181172.38693113264
1544,86819.27438684591
1545,113558.50536409582
1546,131413.4089673485
1547,119384.79460295956
1548,129393.26626334923
1549,117314.06198286529
1550,126812.1461953688
1551,117334.53814261036
1552,128920.80655593652
1553,137207.21234065466
1554,126682.76222842929
1555,152290.7241122202
1556,93198.42989315167
1557,105511.47160049263
1558,108593.74497189796
1559,67076.04881361293
1560,139224.1737481391
1561,123457.71456573838
1562,131433.09597216986
1563,121739.00769126866
1564,162332.09844341743
1565,147823.93056540893
1566,229017.69187175244
1567,87314.15541642816
1568,214161.64009241434
1569,120878.28258508365
1570,143376.51468213147
1571,125718.5816159403
1572,142379.7096688057
1573,235190.651459602
